"Internet users, total number",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Philippines,0,,,,3957,19797,39627,99162,816971,1083292,1532479,1993066,3493132,3997572,4401329,4617485,5000985,5292562,5608769,8253278,23315200,
Poland,0,1996,19937,49797,149276,248684,497343,795985,1573895,2091785,2790497,3788670,8085750,9499880,12418371,14811852,17016333,18560224,20305469,22555570,23854015,
Portugal,0,9969,24998,45143,72448,151301,303127,505765,1011951,1517527,1698287,1877401,2018985,3105205,3338887,3689228,4020557,4464922,4455902,4955586,5455217,
Puerto Rico,0,,,,1000,5001,10009,50085,100214,200274,399540,596634,669065,749553,839280,884987,959967,1049042,1428413,1557734,1698301,
Qatar,0,,,,,954,4766,16306,19319,23198,28742,37519,63829,125749,148047,203059,283464,435931,942341,,1435175,
Romania,0,,,850,5999,17000,50014,100071,500619,601093,801945,1003046,1448309,1951352,3276790,4680926,5352496,6125503,6999330,7882622,8579508,
Russia,0,,1001,20029,80116,220298,400467,700645,1200824,1500829,2901734,4303539,6007446,12023428,18556996,21902528,25865216,35336432,38410660,41488583,61472011,
Rwanda,0,,,,,,51,102,817,5094,5088,20354,25462,31615,38818,51165,,205415,450184,793968,1381121,
Saint Kitts and Nevis,0,,,,,,850,1001,1501,2001,2702,3602,10007,11008,12008,16719,24407,26237,30661,35709,39826,
Saint Lucia,0,,,,,450,999,1499,1999,2999,7998,12998,23499,34003,35009,35646,40915,47093,54600,62085,69707,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,0,,,,,139,522,1000,2001,3001,3501,5502,6002,7002,8003,10004,35015,57027,66042,76040,,
Samoa,0,,,,,,,300,400,500,1000,3002,4007,5015,5527,6043,8079,8611,9148,10944,12816,
San Marino,0,,,,,350,370,370,370,11365,13160,13866,14361,14508,15029,15229,15425,15617,17009,17000,,
Sao Tome and Principe,0,,,,,,,,402,503,6541,9052,11050,15043,20026,21000,21978,22960,24745,26669,31012,
Saudi Arabia,0,,,,,2026,5022,9910,19532,96639,443139,968116,1370354,1787103,2375821,3054432,4825860,7651253,9419990,10187460,11253715,
Senegal,0,,,,,58,966,2410,7217,28823,38401,96007,100879,216405,464099,520404,626806,883549,1249435,1755495,1989396,
Serbia,,,,,,,,,,,,,,,2325443,2018572,2081970,2536248,2726537,2921950,3139145,
Seychelles,0,,,,,,492,978,1945,4847,5819,8772,11535,11916,20056,21223,29461,32613,34604,,35472,
Sierra Leone,0,,,0,0,0,98,195,585,1953,4899,6898,7939,8995,10053,11100,12129,13139,14030,14922,,
Singapore,0,5006,15040,25092,40125,100043,298639,494502,736860,928702,1410948,1658881,1895142,2199845,2579298,2602259,2601873,3117728,3292829,3412495,3611357,
Slovak Republic,0,,,6820,17052,28091,42147,63244,145157,293712,509504,677412,2170836,2328112,2862057,2988812,3040726,3356342,3880194,4098244,4338015,
Slovenia,0,,,8000,21000,57000,99999,149998,199996,249996,300000,600013,554361,635320,815367,937176,1083928,1141805,1170540,1295386,1420776,
Solomon Islands,0,,,,,89,984,1476,1967,1966,1967,1969,2169,2469,2968,3967,7952,9930,15307,20965,26907,
Somalia,0,,,,,0,100,200,500,1001,1480,6005,9008,30028,86077,90063,94041,98010,101954,105846,,
South Africa,0,5007,15020,45055,100101,280187,355070,699733,1264678,1816803,2394036,2880704,3087782,3267782,3978903,3578983,3676600,3939328,4157622,4975150,6166336,
Spain,5006,10012,30036,50059,110119,150138,526340,1110357,1733156,2830396,5489286,7398692,8434268,16786492,18806394,20777737,22171810,24581476,26907170,28478183,30318659,
Sri Lanka,0,,,,500,1000,9989,29939,54855,64840,121358,150205,200989,282525,283601,355588,509088,786564,1187480,1814751,2503194,
Sudan,0,,,,0,0,0,391,1564,2935,8815,49068,157404,197315,296864,496277,3185731,3496357,4207779,,,
Suriname,0,,,,,500,1000,4493,7585,8711,11701,14508,19981,22976,29969,31970,47965,71980,108473,163028,165733,
Swaziland,0,,,,,10,496,892,989,4934,9853,13778,19665,26533,35370,40848,41313,46453,78799,88794,95122,
Sweden,50000,99999,129995,149991,299985,450000,800125,2100857,2962762,3667832,4047996,4595249,6282022,7070576,7531615,7659593,7978004,7513243,8313185,8473110,8441718,
Switzerland,39756,79530,119374,149352,189346,249305,321250,1070663,1764011,2426492,3376085,3971601,4454555,4756908,4990915,5197920,5653541,5806685,5997978,6196045,6430363,
Syria,0,0,0,0,0,0,0,4844,9681,19356,29051,58211,355051,594309,778094,1044003,1481976,,2757196,3469298,4224995,
Tajikistan,0,,,,,,,,,2002,3000,3195,3486,4092,4952,19275,246136,475361,587506,683087,794483,
Tanzania,0,,,,,,499,2496,2994,24941,39891,59813,79722,249043,331609,1669734,2315569,2956909,3804090,4352474,4932535,
Thailand,0,30,200,7968,22831,44633,69581,219680,672850,1514185,2329815,3550430,4868421,6078800,7053467,10022117,11545108,13579629,12424773,13809931,14653914,
Timor-Leste,0,,,,,,,,,,,,0,,,1001,1211,1495,1769,2038,2361,
Togo,0,0,0,0,0,0,460,9183,13752,27456,91349,136739,181911,190546,200009,216322,237786,254376,277288,300995,324296,
Tonga,0,,,,,118,158,493,742,992,2384,2782,2880,2976,3964,4953,5947,7342,8347,10352,12487,
Trinidad and Tobago,0,,,,,1995,4988,14963,34916,74822,99765,199533,286329,339208,354186,381156,396175,428192,463202,592003,650611,
Tunisia,0,,,,650,1000,2500,4000,10001,150033,260113,410303,506073,631052,837019,957023,1300957,1732293,2821089,3531386,3856984,
Turkey,0,,,4818,28880,48087,115292,287927,431461,1436989,2393480,3349546,7447774,8179652,9802998,10534937,12597189,20038925,24376486,26152021,28969976,
Turkmenistan,0,,,,,,,,,2003,6000,7975,13898,19762,35416,47348,63364,68333,86072,97104,110924,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,0,,,,,,,,,,494,,,,,,,976,1468,1961,2457,
Uganda,0,,,,,596,993,2283,14879,24784,39640,59449,99075,123844,198148,495330,742880,1114070,2475812,3165582,4178085,
Ukraine,0,,,401,7009,22025,50053,100093,150117,200123,350155,600158,900071,1499871,1649659,1759537,2099484,3031481,10315912,15154526,20451748,
United Arab Emirates,0,,,,,2418,9287,86068,190358,432896,716671,827413,921614,1002533,1102215,1627740,2424619,3297380,4468769,5204111,5859118,
United Kingdom,49980,99956,149920,299807,599560,1099145,2398186,4307074,7995303,12493278,15791071,19786366,33515216,38635538,39295002,42141909,41662350,45726882,48029802,51516674,52730235,
United States,1988024,2975535,4453200,5924598,12811919,24600557,44232691,58935678,83053031,100125498,121697045,140147752,169576672,179718040,190430149,201742976,206493364,226713423,225691907,218457578,229684122,
Uruguay,0,,,,1999,9997,59978,109954,229893,329828,349798,369767,379741,529611,566728,667436,978271,1134080,1314965,1403389,1606911,
Uzbekistan,0,,,,,350,1000,2503,5008,7509,120000,149646,273461,487511,666800,867554,1674617,1985297,2434558,4627564,5488940,
Vanuatu,0,,,,,,98,244,488,976,3902,5365,6829,7805,9757,10732,12682,15122,16577,17534,19172,
Venezuela,0,,2493,8776,11968,26930,55857,89773,324191,678327,818005,1150224,1241034,1930220,2201971,3347147,4130269,5747711,7261277,8898213,10337115,
Vietnam,0,,,,,,101,3031,10073,100422,200241,1007834,1493286,3076281,6286874,10594671,14506873,17643674,20559697,23072261,24211031,
Virgin Islands (U.S.),0,,,,1000,2999,4998,7497,9997,11996,14991,19979,29951,29931,29915,29905,29902,29906,29914,29921,,
West Bank and Gaza,0,,,,,,,,,,35546,60339,104051,141243,153305,569071,669699,789496,932070,1266856,1512273,
"Yemen, Rep.",0,,,,,,98,2438,3899,9745,14622,16586,97699,117438,176475,216521,265638,1099544,1558972,2323490,2970485,
Zambia,0,,,,589,783,831,879,2927,14625,19492,24362,51088,107248,225365,326878,488794,587097,687068,802868,1308857,
Zimbabwe,0,,,,199,898,1997,3998,10012,20056,50217,100581,503600,806572,826930,1007663,1226884,1354215,1419476,1417045,1445717,
